Fecha,Predicción,Límite Inferior (95%),Límite Superior (95%)
2018-09-09,333473.4964007194,242135.63203717998,434964.9901650545
2018-09-16,494571.82776762196,397505.41067675553,587917.5061529424
2018-09-23,615108.2970665665,514944.29235071165,716025.2525972901
2018-09-30,649464.3919245248,553764.8830746253,748629.4430556357
2018-10-07,609321.6668872053,512054.97194080026,710318.6186310428
2018-10-14,537795.4191310543,440672.5020934225,641516.4427419087
2018-10-21,481554.50017622253,380830.4157234689,575808.7208254882
2018-10-28,482945.6658234649,379428.15382741106,578772.4955302817
2018-11-04,572339.6124530869,477813.4535702032,668218.64129097
2018-11-11,739725.8823891702,645904.4598549475,838557.3274154449
2018-11-18,909759.7092507562,812986.9909658094,1008322.7198078532
2018-11-25,970005.6672507696,872825.6863236259,1068345.7604183396
2018-12-02,856457.4082935667,756487.6937024525,954283.5723794631
